,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
713188,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-23,-75.0,-34.0,-75.0,-66.0,-41.0,19.0
713189,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-24,-72.0,-34.0,-55.0,-65.0,-41.0,13.0
713190,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-25,-73.0,-40.0,-51.0,-74.0,-61.0,27.0
713191,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-26,-73.0,-41.0,-46.0,-74.0,-60.0,29.0
713192,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-27,-74.0,-46.0,-60.0,-74.0,-60.0,30.0
713193,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-28,-74.0,-39.0,-56.0,-74.0,-59.0,30.0
713194,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-29,-75.0,-33.0,-43.0,-71.0,-58.0,29.0
713195,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-30,-70.0,-26.0,-39.0,-58.0,-34.0,15.0
713196,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-31,-69.0,-31.0,-51.0,-64.0,-33.0,13.0
713197,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-06-01,-72.0,-48.0,-76.0,-73.0,-59.0,28.0
713198,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-06-02,-69.0,-38.0,-60.0,-72.0,-57.0,28.0
