,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
610960,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-27,-15.0,-2.0,18.0,-43.0,-10.0,5.0
610961,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-28,-17.0,-8.0,-38.0,-55.0,-13.0,6.0
610962,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-29,-17.0,-4.0,2.0,-52.0,-30.0,11.0
610963,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-30,-15.0,-3.0,10.0,-52.0,-31.0,12.0
610964,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-01,-16.0,-4.0,10.0,-50.0,-32.0,12.0
610965,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-02,-16.0,-2.0,9.0,-49.0,-33.0,11.0
610966,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-03,-14.0,-3.0,3.0,-48.0,-31.0,10.0
610967,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-04,-12.0,-3.0,10.0,-44.0,-9.0,4.0
610968,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-05,-13.0,-9.0,14.0,-50.0,-14.0,3.0
610969,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-06,-13.0,-4.0,-1.0,-51.0,-31.0,10.0
610970,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-07,-12.0,0.0,14.0,-50.0,-32.0,11.0
610971,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-07-08,-12.0,-1.0,9.0,-48.0,-31.0,11.0
